"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Stevie Ray Vaughan And Double Trouble","Tegan","F","1","Levine","258.82077","paid","Portland-South Portland, ME","398","Life Without You","80"
"AFI","Hannah","F","0","Calhoun","176.48281","free","Los Angeles-Long Beach-Anaheim, CA","166","Miseria Cantare--The Beginning","64"
"Lonnie Gordon","Sara","F","3","Johnson","181.21098","paid","Winston-Salem, NC","276","Catch You Baby (Steve Pitron & Max Sanna Radio Edit)","95"
"Harry Connick_ Jr.","Sara","F","4","Johnson","197.09342","paid","Winston-Salem, NC","276","My Blue Heaven","95"
"Andres Calamaro","Sara","F","5","Johnson","122.33098","paid","Winston-Salem, NC","276","Crucificame","95"
"Tub Ring","Sara","F","6","Johnson","233.69098","paid","Winston-Salem, NC","276","Invalid","95"
"Brian Poole & The Tremeloes","Kimber","F","0","Norris","115.66975","free","New York-Newark-Jersey City, NY-NJ-PA","142","I Can Dance","47"
"War","Kimber","F","1","Norris","244.03546","free","New York-Newark-Jersey City, NY-NJ-PA","142","The World Is A Ghetto","47"
"Kanye West / Consequence / Cam'Ron","Tegan","F","0","Levine","333.34812","paid","Portland-South Portland, ME","409","Gone","80"
"David Banner","Tegan","F","1","Levine","232.75057","paid","Portland-South Portland, ME","409","Play","80"
"Kreator","Devin","M","0","Larson","287.9473","free","Tampa-St. Petersburg-Clearwater, FL","271","Second awakening","60"
"Cipher","Tegan","F","2","Levine","311.2224","paid","Portland-South Portland, ME","409","Protoculture (Sankofa)","80"
"Daft Punk","Tegan","F","3","Levine","416.522","paid","Portland-South Portland, ME","409","Emotion","80"
"Taylor Swift","Colm","M","0","Santana","233.89995","free","Nashville-Davidson--Murfreesboro--Franklin, TN","66","Love Story","67"
"The Police","Tegan","F","4","Levine","289.2273","paid","Portland-South Portland, ME","409","Message In A Bottle","80"
"JayMay","Tegan","F","5","Levine","590.91546","paid","Portland-South Portland, ME","409","You'd Rather Run","80"
"Amy Adams","Martin","M","1","Johnson","128.62649","free","Minneapolis-St. Paul-Bloomington, MN-WI","331","Happy Working Song","55"
"Shinedown","Tegan","F","6","Levine","220.39465","paid","Portland-South Portland, ME","409","Second Chance (Album Version)","80"
"Amy Winehouse","Martin","M","2","Johnson","141.24363","free","Minneapolis-St. Paul-Bloomington, MN-WI","331","Some Unholy War","55"
"T.I. & DJ Drama","Tegan","F","7","Levine","245.9424","paid","Portland-South Portland, ME","409","Ride Wit Me","80"
"Gang Starr","Lily","F","0","Koch","194.2722","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Soliloquy Of Chaos (Explicit)","15"
"Benny Benassi","Tegan","F","8","Levine","207.49016","paid","Portland-South Portland, ME","409","Who's Your Daddy? ","80"
"Paramore","Lily","F","2","Koch","215.09179","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","When It Rains (Album Version)","15"
"Metallica","Tegan","F","9","Levine","319.73832","paid","Portland-South Portland, ME","409","Mama Said","80"
"A-Ha","Lily","F","3","Koch","246.25587","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Forever Not Yours (Album Version  - NY Mix II)","15"
"Easy Star All-Stars","Tegan","F","10","Levine","244.81914","paid","Portland-South Portland, ME","409","Lovely Rita (feat. Bunny Rugs and U Roy)","80"
"Alter Bridge","Lily","F","4","Koch","286.35383","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Down To My Last","15"
"O Terco","Tegan","F","11","Levine","431.20281","paid","Portland-South Portland, ME","409","Mudanca De Tempo","80"
"Nightwish","Lily","F","5","Koch","330.97098","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Walking In The Air","15"
"Augustana","Tegan","F","12","Levine","196.70159","paid","Portland-South Portland, ME","409","Mayfield","80"
"Anita Ward","Lily","F","6","Koch","491.93751","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Ring My Bell","15"
"Gaz Nevada","Tegan","F","13","Levine","390.21669","paid","Portland-South Portland, ME","409","I C Love Affair","80"
"Flamin' Groovies","Lily","F","7","Koch","299.65016","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Slow Death","15"
"isis","Tegan","F","14","Levine","406.12526","paid","Portland-South Portland, ME","409","Carry","80"
"Five Iron Frenzy","Lily","F","11","Koch","236.09424","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Canada","15"
"Frankie HI-NRG MC","Lily","F","12","Koch","104.09751","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Pace E Guerra","15"
"Alliance Ethnik","Tegan","F","0","Levine","252.21179","paid","Portland-South Portland, ME","416","ReprÃÂ©sente","80"
"Pavement","Tegan","F","1","Levine","99.16036","paid","Portland-South Portland, ME","416","Mercy:The Laundromat","80"
"4 Skins","Tegan","F","2","Levine","165.51138","paid","Portland-South Portland, ME","416","Clockwork Skinhead","80"
"Thrice","Tegan","F","3","Levine","249.46893","paid","Portland-South Portland, ME","416","Wood And Wire","80"
"Van Halen","Jayden","M","0","Fox","289.38404","free","New Orleans-Metairie, LA","408","Best Of Both Worlds (Remastered Album Version)","101"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Theodore","M","0","Harris","277.15873","free","Red Bluff, CA","340","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","14"
"Hot Chip","Ann","F","0","Banks","230.29506","free","Salt Lake City, UT","227","My Brother Is Watching Me","99"
"Lasgo","Tegan","F","4","Levine","192.80934","paid","Portland-South Portland, ME","416","Over You","80"
"Peter Sellers","Jayden","M","1","Fox","142.39302","free","New Orleans-Metairie, LA","408","She Loves You","101"
"Alphaville","Lily","F","0","Burns","285.43955","free","New York-Newark-Jersey City, NY-NJ-PA","363","Big In Japan (Original)","32"
"Eneida Marta","Tegan","F","5","Levine","223.55546","paid","Portland-South Portland, ME","416","Mindjer dÃÂ´ce mel","80"
"Astral Projection","Ann","F","1","Banks","585.42975","free","Salt Lake City, UT","227","Flying Into a Star","99"
"Gare du Nord","Tegan","F","6","Levine","221.98812","paid","Portland-South Portland, ME","416","Marvin & Miles","80"
"Florence + The Machine","Tegan","F","7","Levine","219.66322","paid","Portland-South Portland, ME","416","Dog Days Are Over (Radio Edit)","80"
"The White Stripes","Tegan","F","8","Levine","232.61995","paid","Portland-South Portland, ME","416","Seven Nation Army","80"
"Bouncing Souls","Ava","F","0","Robinson","66.01098","free","London, KY","108","East Side Mags","13"
"Coldplay","Ava","F","1","Robinson","311.27465","free","London, KY","108","The Scientist","13"
"Kings Of Leon","Tegan","F","9","Levine","201.79546","paid","Portland-South Portland, ME","416","Revelry","80"
"Mad Caddies","Tegan","F","10","Levine","181.81179","paid","Portland-South Portland, ME","416","Backyard","80"
"Phil Collins","Cecilia","F","0","Owens","239.85587","free","Atlanta-Sandy Springs-Roswell, GA","406","The Way You Look Tonight (Live Version)","6"
"Parachute","Tegan","F","11","Levine","230.5824","paid","Portland-South Portland, ME","416","The Mess I Made","80"
"Escape The Fate","Kinsley","F","1","Young","283.34975","free","Red Bluff, CA","368","My Apocalypse","85"
"Booka Shade","Tegan","F","12","Levine","336.45669","paid","Portland-South Portland, ME","416","Teenage Spaceman","80"
"Modern Lovers","Kinsley","F","5","Young","180.27057","paid","Red Bluff, CA","368","Modern world","85"
"Tub Ring","Cecilia","F","0","Owens","233.69098","free","Atlanta-Sandy Springs-Roswell, GA","423","Invalid","6"
"Black Box","Tegan","F","13","Levine","247.03955","paid","Portland-South Portland, ME","416","Everybody Everybody","80"
"Cass Phang","Kinsley","F","6","Young","249.05098","paid","Red Bluff, CA","368","Ye Feng Ling","85"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Tegan","F","14","Levine","277.15873","paid","Portland-South Portland, ME","416","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","80"
"Adina Howard","Kinsley","F","7","Young","210.33751","paid","Red Bluff, CA","368","Buttnaked","85"
"Queens Of The Stone Age","Tegan","F","15","Levine","254.77179","paid","Portland-South Portland, ME","416","No One Knows","80"
"Mondo Marcio","Kinsley","F","8","Young","218.06975","paid","Red Bluff, CA","368","Il Solo Rimasto","85"
"Steve Miller Band","Tegan","F","16","Levine","242.46812","paid","Portland-South Portland, ME","416","Living In The U.S.A. (1991 Digital Remaster)","80"
"Lil Wayne / Eminem","Kinsley","F","9","Young","229.58975","paid","Red Bluff, CA","368","Drop The World","85"
"4hero feat. FACE","Kinsley","F","10","Young","304.71791","paid","Red Bluff, CA","368","Stoke Up The Fire","85"
"Toby Keith","Tegan","F","17","Levine","238.44526","paid","Portland-South Portland, ME","416","Whiskey Girl","80"
"Los Fabulosos Cadillacs","Tegan","F","18","Levine","353.93261","paid","Portland-South Portland, ME","416","Muy_ Muy Temprano","80"
"Amon Amarth","Kinsley","F","11","Young","257.27955","paid","Red Bluff, CA","368","Under The Northern Star","85"
"Markus KrunegÃÂ¥rd","Jacob","M","0","Rogers","185.5473","free","San Diego-Carlsbad, CA","17","Genom tunna tyger","18"
"Michael B.","Jacob","M","1","Rogers","197.3024","free","San Diego-Carlsbad, CA","17","Geh Deinen Weg","18"
"The Serendipity Singers","Kinsley","F","12","Young","163.21261","paid","Red Bluff, CA","368","Don't Let The Rain Come Down (Crooked Little Man)","85"
"Sheena Easton","Tegan","F","19","Levine","239.62077","paid","Portland-South Portland, ME","416","Strut (1993 Digital Remaster)","80"
"Skillet","Kinsley","F","13","Young","210.02404","paid","Red Bluff, CA","368","Falling Inside The Black (Album Version)","85"
"The Bevis Frond","Tegan","F","20","Levine","265.32526","paid","Portland-South Portland, ME","416","Into The Cryptic Mist","80"
"Kingston Trio","Kinsley","F","14","Young","193.07057","paid","Red Bluff, CA","368","Greenback Dollar","85"
"The Black Keys","Tegan","F","21","Levine","269.29587","paid","Portland-South Portland, ME","416","Ten Cent Pistol","80"
"Jack Johnson","Kinsley","F","15","Young","141.87057","paid","Red Bluff, CA","368","Times Like These","85"
"Great White","Kinsley","F","16","Young","357.14567","paid","Red Bluff, CA","368","House Of Broken Love","85"
"Blind Melon","Tegan","F","22","Levine","217.15546","paid","Portland-South Portland, ME","416","No Rain","80"
"Aerosmith","Lily","F","0","Burns","301.76608","free","New York-Newark-Jersey City, NY-NJ-PA","420","Fly Away From Here","32"
"311","Tegan","F","23","Levine","191.79057","paid","Portland-South Portland, ME","416","Solar Flare","80"
"Haloo Helsinki!","Kinsley","F","17","Young","223.42485","paid","Red Bluff, CA","368","Kaaos ei karkaa","85"
"Dakota Oak","Tegan","F","24","Levine","45.63546","paid","Portland-South Portland, ME","416","Baker's Blue Jay Yarn","80"
"Bow Wow feat. Chris Brown and JohntÃÂ¡ Austin","Tegan","F","25","Levine","268.06812","paid","Portland-South Portland, ME","416","Shortie Like Mine","80"
"Angus & Julia Stone","Kinsley","F","18","Young","265.29914","paid","Red Bluff, CA","368","Hold On","85"
"Rammstein","Tegan","F","26","Levine","228.46649","paid","Portland-South Portland, ME","416","Adios","80"
"The Avett Brothers","Kinsley","F","19","Young","233.84771","paid","Red Bluff, CA","368","Shame","85"
"Jose Cid","Tegan","F","27","Levine","202.23955","paid","Portland-South Portland, ME","416","Madrugada Na Praia Deserta","80"
"A Perfect Circle","Kinsley","F","20","Young","291.52608","paid","Red Bluff, CA","368","Vanishing","85"
"Ron Carter","Tegan","F","28","Levine","497.13587","paid","Portland-South Portland, ME","416","I CAN'T GET STARTED","80"
"Muse","Tegan","F","29","Levine","255.08526","paid","Portland-South Portland, ME","416","Do We Need This?","80"
"The Black Keys","Tegan","F","30","Levine","191.76444","paid","Portland-South Portland, ME","416","Howlin For You","80"
"Linkin Park","Adler","M","0","Barrera","164.41424","free","New York-Newark-Jersey City, NY-NJ-PA","341","Bleed It Out (Album Version)","100"
"Jonny L","Tegan","F","31","Levine","401.52771","paid","Portland-South Portland, ME","416","Microdaze","80"
"Dangerdoom","Tegan","F","32","Levine","146.85995","paid","Portland-South Portland, ME","416","Crosshairs","80"
"Jack Johnson","Tegan","F","33","Levine","212.68853","paid","Portland-South Portland, ME","416","Breakdown","80"
"Foo Fighters","Tegan","F","34","Levine","271.38567","paid","Portland-South Portland, ME","416","The Pretender","80"
"Sleater-kinney","Tegan","F","35","Levine","264.4371","paid","Portland-South Portland, ME","416","Jumpers (Album)","80"
"Interpol","Tegan","F","36","Levine","276.63628","paid","Portland-South Portland, ME","416","Pace Is The Trick","80"
"Leonard Cohen","Tegan","F","37","Levine","365.94893","paid","Portland-South Portland, ME","416","Dance Me To The End Of Love","80"
"Art Pepper","Matthew","M","0","Jones","311.90159","free","Janesville-Beloit, WI","392","Star Eyes","36"
"Trapt","Tegan","F","38","Levine","285.98812","paid","Portland-South Portland, ME","416","Headstrong (Album Version)","80"
"Sidewalk Prophets","Matthew","M","1","Jones","260.62322","free","Janesville-Beloit, WI","392","You Love Me Anyway (Album)","36"
"Pearl Jam","Tegan","F","39","Levine","352.88771","paid","Portland-South Portland, ME","416","Not For You","80"
"Nach","Matthew","M","5","Jones","182.41261","paid","Janesville-Beloit, WI","392","El Juego Del Rap","36"
"U.S. Bombs","Ava","F","0","Robinson","214.85669","free","New Haven-Milford, CT","360","U.S. Bombs","50"
"Vasco Rossi","Matthew","M","6","Jones","233.53424","paid","Janesville-Beloit, WI","392","Colpa Del Whisky (Andrea Paci Radio Edit)","36"
"Bruce Springsteen","Tegan","F","40","Levine","195.7873","paid","Portland-South Portland, ME","416","Streets Of Philadelphia","80"
"Usher","Ava","F","1","Robinson","224.10404","free","New Haven-Milford, CT","360","Hey Daddy (Daddy's Home)","50"
"Martin Orford","Matthew","M","7","Jones","597.55057","paid","Janesville-Beloit, WI","392","Grand Designs","36"
"Curtis Stigers","Tegan","F","42","Levine","259.49995","paid","Portland-South Portland, ME","416","Columbus Avenue","80"
"ManÃÂ¡","Ava","F","2","Robinson","262.81751","free","New Haven-Milford, CT","360","Mariposa traicionera","50"
"Mariah Carey","Ryan","M","0","Smith","242.18077","free","San Jose-Sunnyvale-Santa Clara, CA","397","Obsessed","26"
"Jack Johnson","Tegan","F","43","Levine","236.93016","paid","Portland-South Portland, ME","416","Bubble Toes","80"
"Bill Withers","Ava","F","3","Robinson","383.73832","free","New Haven-Milford, CT","360","Make Love To Your Mind","50"
"Postal Service","Ryan","M","1","Smith","307.53914","free","San Jose-Sunnyvale-Santa Clara, CA","397","Natural Anthem (Album)","26"
"Sara Bareilles","Tegan","F","44","Levine","253.02159","paid","Portland-South Portland, ME","416","Love On The Rocks","80"
"Gillian Welch","Matthew","M","8","Jones","237.26975","paid","Janesville-Beloit, WI","392","Pass You By","36"
"M83","Ava","F","4","Robinson","367.5424","free","New Haven-Milford, CT","360","Gone","50"
"Okkervil River","Ryan","M","2","Smith","278.54322","free","San Jose-Sunnyvale-Santa Clara, CA","397","Unless It's Kicks","26"
"1200 Mics","Matthew","M","9","Jones","483.39546","paid","Janesville-Beloit, WI","392","DNA","36"
"Chasen","Tegan","F","46","Levine","166.16444","paid","Portland-South Portland, ME","416","Crazy Beautiful","80"
"Jonas Steur","Tegan","F","47","Levine","481.38404","paid","Portland-South Portland, ME","416","Sonrisa","80"
"Franz Ferdinand","Matthew","M","10","Jones","204.14649","paid","Janesville-Beloit, WI","392","Call Me","36"
"Recycler","Matthew","M","11","Jones","323.52608","paid","Janesville-Beloit, WI","392","Kromozom Bankal (Linathaleyco Mix)","36"
"Red Hot Chili Peppers","Ryan","M","1","Smith","107.31057","free","San Jose-Sunnyvale-Santa Clara, CA","431","Pea (Album Version)","26"
"Sunny Day Real Estate","Ryan","M","2","Smith","198.97424","free","San Jose-Sunnyvale-Santa Clara, CA","431","Red Elephant","26"
"Alice In Chains","Tegan","F","48","Levine","282.30485","paid","Portland-South Portland, ME","416","Your Decision","80"
"Bell Orchestre","Matthew","M","12","Jones","137.82159","paid","Janesville-Beloit, WI","392","Stripes","36"
"Linkin Park","Jacob","M","1","Rogers","494.99383","free","San Diego-Carlsbad, CA","425","Bleed It Out [Live At Milton Keynes]","18"
"Sam Cooke","Ryan","M","3","Smith","122.04363","free","San Jose-Sunnyvale-Santa Clara, CA","431","Ain't Misbehavin","26"
"Sunny Day Real Estate","Matthew","M","13","Jones","253.43955","paid","Janesville-Beloit, WI","392","Every Shining Time You Arrive (Album)","36"
"Eminem","Tegan","F","49","Levine","212.00934","paid","Portland-South Portland, ME","416","I'm Shady","80"
"Westside Connection","Matthew","M","14","Jones","223.60771","paid","Janesville-Beloit, WI","392","Call 9-1-1 (Explicit)","36"
"Kitty Wells & Roy Drusky","Matthew","M","15","Jones","140.64281","paid","Janesville-Beloit, WI","392","Remember Me_ I'm The One Who Loves You","36"
"Big Shug","Matthew","M","16","Jones","140.56444","paid","Janesville-Beloit, WI","392","It Just Don't Stop","36"
"Miguel Calo","Matthew","M","17","Jones","171.17995","paid","Janesville-Beloit, WI","392","El Cuatrero","36"
"Jimi Hendrix","Matthew","M","18","Jones","241.24036","paid","Janesville-Beloit, WI","392","All Along The Watchtower","36"
"Mangataot","Matthew","M","19","Jones","356.62322","paid","Janesville-Beloit, WI","392","Kalidafun Parts 1&2","36"
"Scott Walker","Matthew","M","20","Jones","199.6273","paid","Janesville-Beloit, WI","392","Rosemary","36"
"Styx","Matthew","M","21","Jones","247.64036","paid","Janesville-Beloit, WI","392","Blue Collar Man (Long Nights)","36"
"Aventura","Matthew","M","22","Jones","240.43057","paid","Janesville-Beloit, WI","392","Su veneno","36"
"Katy Perry","Matthew","M","23","Jones","233.53424","paid","Janesville-Beloit, WI","392","Hot N Cold (Manhattan Clique Remix Radio Edit)","36"
"Black Eyed Peas","Matthew","M","24","Jones","210.15465","paid","Janesville-Beloit, WI","392","Bebot","36"
"Boys Noize","Matthew","M","26","Jones","256.60036","paid","Janesville-Beloit, WI","392","Lava Lava","36"
"James Blake","Matthew","M","27","Jones","248.78975","paid","Janesville-Beloit, WI","392","Air & Lack Thereof","36"
"Aqua","Tegan","F","1","Levine","217.57342","paid","Portland-South Portland, ME","434","My Mamma Said","80"
"Emil Gilels/Orchestre de la SociÃÂ©tÃÂ© des Concerts du Conservatoire/AndrÃÂ© Cluytens","Matthew","M","28","Jones","375.19628","paid","Janesville-Beloit, WI","392","Piano Concerto No. 2 in G minor Op. 22 (2006 Digital Remaster): III.  Presto","36"
"Pixies","Tegan","F","2","Levine","229.3024","paid","Portland-South Portland, ME","434","Where Is My Mind?","80"
"LCD Soundsystem","Tegan","F","3","Levine","221.64853","paid","Portland-South Portland, ME","434","Drunk Girls","80"
"Phil Collins","Matthew","M","29","Jones","204.19873","paid","Janesville-Beloit, WI","392","Two Hearts","36"
"The Strokes","Matthew","M","30","Jones","218.56608","paid","Janesville-Beloit, WI","392","Reptilia","36"
"4 Skins","Kinsley","F","1","Young","165.51138","paid","Red Bluff, CA","427","Clockwork Skinhead","85"
"Kate Ryan","Matthew","M","31","Jones","239.96036","paid","Janesville-Beloit, WI","392","Scream For More","36"
"Hi-Tek","Kinsley","F","2","Young","153.67791","paid","Red Bluff, CA","427","God's Plan","85"
"Deborah Harry","Kinsley","F","3","Young","257.41016","paid","Red Bluff, CA","427","Kiss It Better","85"
"Octopus Project","Matthew","M","32","Jones","250.95791","paid","Janesville-Beloit, WI","392","All Of The Champs That Ever Lived","36"
"Escape The Fate","Matthew","M","33","Jones","217.28608","paid","Janesville-Beloit, WI","392","Something","36"
"Charttraxx Karaoke","Matthew","M","34","Jones","225.17506","paid","Janesville-Beloit, WI","392","Fireflies","36"
"Placebo","Matthew","M","35","Jones","241.52771","paid","Janesville-Beloit, WI","392","English Summer Rain","36"
"Frightened Rabbit","Matthew","M","36","Jones","146.46812","paid","Janesville-Beloit, WI","392","Man/Bag Of Sand","36"
"Darius Rucker","Matthew","M","37","Jones","181.81179","paid","Janesville-Beloit, WI","392","Don't Think I Don't Think About It","36"
"Foo Fighters","Matthew","M","38","Jones","249.99138","paid","Janesville-Beloit, WI","392","Everlong","36"
"White Denim","Chloe","F","1","Cuevas","148.55791","free","San Francisco-Oakland-Hayward, CA","405","Transparency","49"
"The Meters","Matthew","M","41","Jones","167.00036","paid","Janesville-Beloit, WI","392","Jambalaya (On The Bayou)","36"
"Ron Carter","Chloe","F","2","Cuevas","497.13587","free","San Francisco-Oakland-Hayward, CA","405","I CAN'T GET STARTED","49"
"Rihanna","Matthew","M","42","Jones","208.40444","paid","Janesville-Beloit, WI","392","Te Amo","36"
"Bayside","Matthew","M","43","Jones","156.29016","paid","Janesville-Beloit, WI","392","Kellum (Album Version)","36"
"Mariah","Matthew","M","44","Jones","432.19546","paid","Janesville-Beloit, WI","392","My All","36"
"She & Him","Chloe","F","3","Cuevas","185.15546","free","San Francisco-Oakland-Hayward, CA","405","Change Is Hard","49"
"Ladytron","Chloe","F","4","Cuevas","325.14567","free","San Francisco-Oakland-Hayward, CA","405","Sugar (Jagz Kooner Mix)","49"
"Soft","Matthew","M","45","Jones","195.7873","paid","Janesville-Beloit, WI","392","Dumb Blood","36"
"The Format","Matthew","M","46","Jones","241.10975","paid","Janesville-Beloit, WI","392","Time Bomb","36"
"Michael Jackson","Matthew","M","47","Jones","390.5824","paid","Janesville-Beloit, WI","392","In The Closet","36"
"JLS","Matthew","M","48","Jones","172.53832","paid","Janesville-Beloit, WI","392","Don't Go","36"
"Young Money featuring Lloyd","Matthew","M","49","Jones","196.33587","paid","Janesville-Beloit, WI","392","BedRock (Radio Edit) (feat.Lloyd)","36"
"Peter Tosh","Matthew","M","50","Jones","320.02567","paid","Janesville-Beloit, WI","392","Rock With Me","36"
"Nick Duffy","Matthew","M","51","Jones","235.49342","paid","Janesville-Beloit, WI","392","Motor Panir","36"
"Alanis Morissette","Matthew","M","52","Jones","175.82975","paid","Janesville-Beloit, WI","392","Right Through You (LP Version)","36"
"Muse","Matthew","M","54","Jones","209.50159","paid","Janesville-Beloit, WI","392","Supermassive Black Hole (Twilight Soundtrack Version)","36"
"Bon Iver","Matthew","M","55","Jones","242.93832","paid","Janesville-Beloit, WI","392","Brackett_ WI","36"
"Leftover Crack","Matthew","M","56","Jones","195.082","paid","Janesville-Beloit, WI","392","Burn Them Prisons","36"
"For Squirrels","Matthew","M","57","Jones","337.162","paid","Janesville-Beloit, WI","392","Mighty K.C.","36"
"Fobia","Matthew","M","58","Jones","290.40281","paid","Janesville-Beloit, WI","392","Tu Me Asustas","36"
"Indian Jewelry","Matthew","M","59","Jones","295.83628","paid","Janesville-Beloit, WI","392","Barbwire","36"
"M.O.P.","Matthew","M","60","Jones","232.6722","paid","Janesville-Beloit, WI","392","Ante Up (Robbin Hoodz Theory)","36"
